etotapx4,etotapx*1000,bls_urbn,cutenure,educ_ref,inclass,marital1,region,vehq,fam_size,fincatax,fincatax*1000,age_ref,num_auto,renteqvx,inc_rank,no_earnr
2.6452,2645.2,1,2,11,3,2,1,0,1,12.419,12419,87,0,900,0.1242,0
7.4514,7451.4,1,2,12,8,1,3,2,2,66.998,66998,87,2,2000,0.6694,0
18.059,18059,2,2,13,9,1,2,6,4,70.286,70286,47,3,200,0.7066,2
11.55205,11552.05,1,1,13,8,1,4,3,3,57.716,57716,52,2,2800,0.6211,3
16.3185,16318.5,1,1,17,9,1,4,2,4,79.6,79600,45,1,2500,0.7516,2
4.4662,4466.2,1,2,12,3,2,3,1,1,14.891,14891,81,1,662,0.1608,0
11.40815,11408.15,1,2,12,7,1,3,3,2,42.901,42901,67,0,500,0.4853,0
9.6087,9608.7,1,1,12,6,5,3,3,2,31.736,31736,41,2,1000,0.4286,1
30.853,30853,1,1,12,7,1,3,4,4,47.2,47200,62,2,1000,0.4991,0
16.8227,16822.7,1,1,12,8,1,4,5,6,67.68,67680,51,2,1781,0.6751,2
8.8812,8881.2,1,2,12,7,1,2,2,2,42.575,42575,65,1,500,0.4845,0
11.7834,11783.4,1,1,14,7,3,3,2,3,41.481,41481,45,2,1300,0.4744,1
5.1222,5122.2,1,2,15,6,5,3,1,1,32.843,32843,79,1,700,0.3708,0
29.792,29792,1,1,15,9,3,1,2,2,67.666,67666,60,0,2500,0.753,2
11.40885,11408.85,1,2,14,8,1,2,2,3,53.618,53618,45,2,1000,0.5835,3
13.69775,13697.75,1,2,16,9,3,1,1,1,157.993,157993,67,1,2000,0.9408,1
29.94675,29946.75,1,1,15,9,1,1,3,3,210.489,210489,34,1,2000,0.9776,2
19.475064,19475.064,1,1,14,9,5,1,3,3,148.8,148800,42,1,3000,0.9462,2
29.982,29982,1,1,15,9,1,2,2,5,136.05,136050,43,1,1200,0.9114,2
11.992,11992,1,1,12,8,2,1,2,3,60.718,60718,46,0,900,0.5847,1
19.466314,19466.314,1,2,17,9,1,4,2,6,169.813,169813,34,1,5039,0.9359,1
8.98925,8989.25,1,1,15,7,2,1,1,1,43.1,43100,62,0,2000,0.4926,1
22.954814,22954.814,1,1,12,9,1,2,2,2,119.65,119650,49,1,1900,0.8701,2
10.64915,10649.15,1,1,12,9,1,3,2,2,77,77000,26,2,500,0.7387,2
7.82325,7823.25,1,2,10,7,1,4,1,2,36,36000,54,0,900,0.4562,2
19.5676,19567.6,1,2,15,9,1,2,1,4,106.734,106734,68,0,1500,0.8568,2
5.7917,5791.7,2,2,15,4,3,3,7,1,17.687,17687,73,0,500,0.2022,0
7.83235,7832.35,1,1,10,7,1,3,2,5,48.111,48111,38,0,1,0.5385,1
14.21325,14213.25,1,1,13,8,1,3,2,4,67.2,67200,37,0,1178,0.6733,1
11.70165,11701.65,1,1,13,8,1,2,2,2,54.4,54400,22,0,1200,0.5659,2
21.32775,21327.75,1,2,15,9,1,4,4,2,192.336,192336,55,0,2400,0.9631,1
7.8892,7889.2,1,2,17,8,5,2,1,1,52.17,52170,67,1,1000,0.5552,0
20.41525,20415.25,1,1,14,9,1,2,2,2,63.81,63810,59,1,750,0.7013,2
12.61185,12611.85,1,1,13,9,1,3,3,3,79,79000,42,1,800,0.7216,1
9.2674,9267.4,1,1,12,4,1,3,1,2,15.969,15969,65,0,500,0.1819,0
12.63795,12637.95,1,1,14,8,4,1,1,2,45.295,45295,44,0,1000,0.555,1
14.33485,14334.85,1,1,12,9,1,1,2,3,138,138000,50,1,1000,0.9133,3
6.774,6774,1,2,13,5,2,4,1,1,0.1,100,79,1,1603,0.0044,0
11.056,11056,1,2,14,8,1,4,6,2,65.14,65140,64,1,1200,0.6627,1
5.80845,5808.45,1,2,13,4,5,4,1,1,18.087,18087,75,1,1750,0.2077,0
21.6575,21657.5,1,2,15,6,1,3,0,2,42.701,42701,61,0,5039,0.4035,2
12.3944,12394.4,1,1,16,1,5,3,1,1,0.1,100,57,0,2000,0.022,1
4.9801,4980.1,1,1,12,7,5,2,1,2,35.199,35199,40,1,852,0.4154,1
6.09165,6091.65,1,2,10,5,1,2,2,2,21.192,21192,68,0,850,0.246,0
4.6305,4630.5,1,2,14,3,3,4,1,2,10.91,10910,41,0,1,0.1026,1
9.32325,9323.25,1,1,15,6,5,1,1,1,26.42,26420,24,1,1100,0.3878,1
11.916,11916,1,1,16,7,3,2,1,1,48.77,48770,48,1,1200,0.5254,1
57.513314,57513.314,1,1,15,9,1,1,4,3,150.004,150004,50,1,5039,0.9352,1
20.2244,20224.4,1,1,12,9,1,3,3,3,109.209,109209,47,2,2200,0.8968,2
12.9632,12963.2,1,1,13,9,1,4,6,2,76.8,76800,53,3,1500,0.7317,1
16.3552,16355.2,1,1,16,9,1,3,1,2,86.36,86360,63,0,2600,0.7906,1
26.77575,26775.75,1,2,15,8,1,3,3,5,36.358,36358,67,2,1000,0.455,1
6.7655,6765.5,1,1,13,2,5,2,1,1,5.4,5400,25,1,1000,0.0465,1
22.6045,22604.5,1,1,13,9,5,4,3,3,64.012,64012,37,2,2000,0.7519,1
11.734,11734,1,1,14,9,1,2,2,2,57.144,57144,53,1,1000,0.7544,2
5.9192,5919.2,1,2,15,7,5,3,0,2,44.443,44443,26,0,1400,0.5036,1
10.6047,10604.7,1,1,12,6,2,2,1,1,34.403,34403,70,1,1000,0.4047,0
10.83,10830,1,1,15,9,1,1,2,4,63.75,63750,37,2,1500,0.7229,1
16.56675,16566.75,1,1,17,9,1,3,2,6,110,110000,40,1,2500,0.8666,1
33.62735,33627.35,1,1,15,9,1,2,5,5,104.42,104420,49,3,1500,0.8916,3
20.939515,20939.515,1,2,17,9,1,3,2,2,187.24,187240,65,2,1200,0.963,1
11.01405,11014.05,1,1,12,9,1,1,2,8,27,27000,40,2,2600,0.3179,4
18.504,18504,1,2,17,9,3,4,1,2,117.768,117768,60,1,2500,0.8969,2
15.82715,15827.15,1,1,16,8,1,3,2,2,55.828,55828,69,1,1500,0.5788,1
19.41025,19410.25,1,1,15,9,1,1,2,2,97.5,97500,55,2,1000,0.8241,2
27.587,27587,1,1,14,8,1,4,3,4,62.863,62863,43,1,1600,0.6646,2
7.0802,7080.2,1,2,12,8,2,3,1,1,51.062,51062,87,1,1500,0.5632,0
24.4807,24480.7,1,2,17,9,1,3,3,3,106.125,106125,50,0,1500,0.9438,2
